sim_id,pity_threshold,player_type,population_share,fatigue,boxes_opened,boxes_opened_weighted,utility,revenue,dev_cost_allocated,net_revenue,participated
10,90,Casual,0.3,0.1112351946584964,28.417838159640173,8.525351447892051,178.6064444964412,32.90785658886332,1.3499999999999999,31.557856588863316,1
10,90,F2P,0.65,0.4184937454481742,0.0,0.0,0.0,0.0,0.0,0.0,0
11,90,Whale,0.05,0.048435649116796306,36.20687976372221,1.8103439881861108,332.5097574348876,6.987927794398387,0.225,6.762927794398387,1
11,90,Casual,0.3,0.16617857427091776,10.148183723604369,3.0444551170813106,35.262384372619614,11.751596751933858,1.3499999999999999,10.401596751933859,1
11,90,F2P,0.65,0.5613680287124928,0.0,0.0,0.0,0.0,0.0,0.0,0
12,90,Whale,0.05,0.03672745694509778,90.00000477583858,4.500000238791929,2051.8187984772403,17.370000921736846,0.225,17.145000921736845,1
12,90,Casual,0.3,0.19913169519363583,25.47417891201783,7.642253673605349,211.71482975473646,29.499099180116644,1.3499999999999999,28.149099180116643,1
12,90,F2P,0.65,0.5559943838822631,0.0,0.0,0.0,0.0,0.0,0.0,0
13,90,Whale,0.05,0.05653089955364732,90.00000477583858,4.500000238791929,2852.966923529155,17.370000921736846,0.225,17.145000921736845,1
13,90,Casual,0.3,0.19649058358445687,8.412072750692149,2.5236218252076443,29.405609883229573,9.741180245301507,1.3499999999999999,8.391180245301507,1
13,90,F2P,0.65,0.5953653928207698,0.0,0.0,0.0,0.0,0.0,0.0,0
14,90,Whale,0.05,0.06071677759858378,36.36984110752983,1.8184920553764916,220.4219169132299,7.019379333753257,0.225,6.794379333753257,1
14,90,Casual,0.3,0.15867558581104196,37.12857743755181,11.138573231265543,402.25575705219103,42.994892672685,1.3499999999999999,41.644892672684996,1
14,90,F2P,0.65,0.571288611788733,0.0,0.0,0.0,0.0,0.0,0.0,0
15,90,Whale,0.05,0.06959559790005918,28.275025559713075,1.4137512779856538,275.36505245490764,5.457079933024624,0.225,5.232079933024624,1
15,90,Casual,0.3,0.1538223956981589,13.140305137258093,3.9420915411774278,52.10565044033146,15.21647334894487,1.3499999999999999,13.86647334894487,1
15,90,F2P,0.65,0.5741275320144422,0.0,0.0,0.0,0.0,0.0,0.0,0
16,90,Whale,0.05,0.05346598737433696,26.093499695944757,1.3046749847972379,124.94451678773791,5.036045441317338,0.225,4.811045441317338,1
16,90,Casual,0.3,0.17529953421499006,7.41083348113967,2.223250044341901,21.079742146946945,8.581745171159737,1.3499999999999999,7.231745171159737,1
16,90,F2P,0.65,0.49273930169193647,0.0,0.0,0.0,0.0,0.0,0.0,0
17,90,Whale,0.05,0.049775489425738326,44.187745170990176,2.209387258549509,324.84027252303997,8.528234818001105,0.225,8.303234818001105,1
17,90,Casual,0.3,0.18594822293707503,16.74117084412333,5.022351253236999,102.58627186121497,19.386275837494818,1.3499999999999999,18.036275837494816,1
17,90,F2P,0.65,0.5532342438133889,0.0,0.0,0.0,0.0,0.0,0.0,0
18,90,Whale,0.05,0.04977313206358805,65.36544631132251,3.2682723155661257,737.8283133257519,12.615531138085245,0.225,12.390531138085246,1
18,90,Casual,0.3,0.1414898473278451,3.0813360474571834,0.9244008142371549,4.37954682720813,3.568187142955418,1.3499999999999999,2.2181871429554185,1
18,90,F2P,0.65,0.5180712116903476,0.0,0.0,0.0,0.0,0.0,0.0,0
19,90,Whale,0.05,0.03897341665769393,45.71775394080506,2.2858876970402533,369.2245901923273,8.823526510575377,0.225,8.598526510575377,1
19,90,Casual,0.3,0.15053712323676924,28.09022285315877,8.427066855947631,285.7979704527867,32.528478063957856,1.3499999999999999,31.178478063957854,1
19,90,F2P,0.65,0.464509466736012,0.0,0.0,0.0,0.0,0.0,0.0,0
20,90,Whale,0.05,0.041345702647911195,90.00000477583858,4.500000238791929,2297.9322140099985,17.370000921736846,0.225,17.145000921736845,1
20,90,Casual,0.3,0.17444454390026448,10.109695186107082,3.0329085558321247,33.608453158868954,11.707027025512,1.3499999999999999,10.357027025512,1
20,90,F2P,0.65,0.5463440587198686,0.0,0.0,0.0,0.0,0.0,0.0,0
21,90,Whale,0.05,0.057234468595554144,33.33361745714041,1.6666808728570208,235.04944653590212,6.4333881692281,0.225,6.2083881692281,1
21,90,Casual,0.3,0.11038640013457716,56.133547815217,16.8400643445651,726.5942724848633,65.00264837002128,1.3499999999999999,63.652648370021275,1
21,90,F2P,0.65,0.459064234478512,0.0,0.0,0.0,0.0,0.0,0.0,0
22,90,Whale,0.05,0.05376285361286383,60.62891999727925,3.0314459998639625,1011.5351898226263,11.701381559474894,0.225,11.476381559474895,1
22,90,Casual,0.3,0.16228520674519403,20.806350431426164,6.241905129427849,126.19050277049055,24.093753799591497,1.3499999999999999,22.743753799591495,1
22,90,F2P,0.65,0.4670409165366782,0.0,0.0,0.0,0.0,0.0,0.0,0
23,90,Whale,0.05,0.06717278461662787,66.74461826690242,3.3372309133451212,928.6754760909596,12.881711325512168,0.225,12.656711325512168,1
23,90,Casual,0.3,0.16945277927941266,9.06863288175516,2.720589864526548,23.37652761049811,10.501476877072475,1.3499999999999999,9.151476877072476,1
